theta    F(theta)
-180.0    4.033
-175.0    3.917
-170.0    3.567
-165.0    2.987
-160.0    2.181
-155.0    1.156
-150.0    -0.07652
-145.0    -1.498
-140.0    -3.08
-135.0    -4.784
-130.0    -6.558
-125.0    -8.355
-120.0    -10.15
-115.0    -11.98
-110.0    -13.94
-105.0    -16.21
-100.0    -19.03
-95.0    -22.52
-90.0    -24.84
-85.0    -22.5
-80.0    -19.01
-75.0    -16.19
-70.0    -13.92
-65.0    -11.96
-60.0    -10.14
-55.0    -8.341
-50.0    -6.545
-45.0    -4.772
-40.0    -3.069
-35.0    -1.487
-30.0    -0.06604
-25.0    1.166
-20.0    2.19
-15.0    2.995
-10.0    3.575
-5.0    3.924
0.0    4.04
5.0    3.924
10.0    3.575
15.0    2.995
20.0    2.19
25.0    1.166
30.0    -0.06604
35.0    -1.487
40.0    -3.069
45.0    -4.772
50.0    -6.545
55.0    -8.341
60.0    -10.14
65.0    -11.96
70.0    -13.92
75.0    -16.19
80.0    -19.01
85.0    -22.5
90.0    -24.84
95.0    -22.52
100.0    -19.03
105.0    -16.21
110.0    -13.94
115.0    -11.98
120.0    -10.15
125.0    -8.355
130.0    -6.558
135.0    -4.784
140.0    -3.08
145.0    -1.498
150.0    -0.07652
155.0    1.156
160.0    2.181
165.0    2.987
170.0    3.567
175.0    3.917
