theta    F(theta)
-180.0    4.033
-175.0    3.923
-170.0    3.592
-165.0    3.045
-160.0    2.287
-155.0    1.33
-150.0    0.1882
-145.0    -1.114
-140.0    -2.545
-135.0    -4.06
-130.0    -5.607
-125.0    -7.135
-120.0    -8.608
-115.0    -10.01
-110.0    -11.36
-105.0    -12.64
-100.0    -13.8
-95.0    -14.66
-90.0    -14.99
-85.0    -14.66
-80.0    -13.79
-75.0    -12.64
-70.0    -11.35
-65.0    -10.0
-60.0    -8.597
-55.0    -7.124
-50.0    -5.596
-45.0    -4.049
-40.0    -2.534
-35.0    -1.104
-30.0    0.1985
-25.0    1.34
-20.0    2.296
-15.0    3.053
-10.0    3.599
-5.0    3.93
0.0    4.04
5.0    3.93
10.0    3.599
15.0    3.053
20.0    2.296
25.0    1.34
30.0    0.1985
35.0    -1.104
40.0    -2.534
45.0    -4.049
50.0    -5.596
55.0    -7.124
60.0    -8.597
65.0    -10.0
70.0    -11.35
75.0    -12.64
80.0    -13.79
85.0    -14.66
90.0    -14.99
95.0    -14.66
100.0    -13.8
105.0    -12.64
110.0    -11.36
115.0    -10.01
120.0    -8.608
125.0    -7.135
130.0    -5.607
135.0    -4.06
140.0    -2.545
145.0    -1.114
150.0    0.1882
155.0    1.33
160.0    2.287
165.0    3.045
170.0    3.592
175.0    3.923
